id	text	event1	event2	event3	event4	event5	event6	event7	event8
0	Ikke reis hvis du er syk: Hvis du er syk eller mistenker at du er syk bør du ikke reise med offentlig kommunikasjon.	False	False	False	True	False	False	False	False
1	lt det vi gjør nå er for at folk skal få god behandling hvis de blir alvorlig syke. Norge har en god helsetjeneste som nå jobber for å øke kapasiteten og dreie innsatsen for å være best mulig forberedt på det som kan møte oss.	False	False	False	False	False	False	False	False
2	Dette innebærer også at treninger og annen organisert idrettsaktivitet kan gjennomføres for inntil 20 personer som holder minst én meter avstand.	False	True	True	False	False	False	False	False
3	Lettelse i innreiserestriksjoner for arbeidsinnvandrere og studenter	False	False	False	False	True	False	False	False
4	Reglene om bortvisning av utenlandske statsborgere som ikke bor eller jobber i Norge ved grensen videreføres, med de unntak og presiseringer som gjelder i dag.	False	False	False	False	False	False	True	False
5	- Nå har vi gjort endringer i regelverket som innebærer at flere EØS-borgere som skal arbeide her, kan komme til Norge, sier justis- og beredskapsminister Monica Mæland (H).	False	True	False	False	True	False	False	False
6	Både arbeidsinnvandrerne og studentene vil imidlertid være omfattet av de til enhver tid gjeldende regler om karantene ved innreise til Norge, og de må forholde seg til de nasjonale smittevernrådene på samme måte som alle andre.	False	False	True	False	False	False	False	False
7	 Vi står i en alvorlig og stadig mer uforutsigbar situasjon. Vår prioritet er å ivareta liv og helse. Det krever ekstraordinære grep.	False	False	False	False	False	False	False	False
8	I områder av landet der de ansatte er avhengig av å bruke offentlig transport, oppfordres arbeidsgivere å legge til rette for hjemmekontor og elektronisk møtevirksomhet i så stor grad som mulig, med fysisk tilstedeværel	False	False	False	True	False	False	False	False
9	ersoner som har vært i utlandet, må i karantene ved hjemkomst.	False	True	True	False	False	False	False	False
10	Unngå rush: Forsøk å legge reisen til et tidspunkt utenfor rushtiden for å redusere trengsel på offentlig kommunikasjon, på holdeplasser, i havner osv.	False	False	False	False	False	False	False	False
11	Frem til nå har det vært en generell innreisekarantene for personer som kommer fra fastlandet. Et arbeidsutvalg på Svalbard har utarbeidet en bransjestandard for hvordan reiselivet skal kunne drive smittevernforsvarlig.	False	False	True	False	False	False	False	False
12	I vanskelige tider som nå blir vi igjen minnet om hvor viktig det er med samarbeid og forståelse på tvers av kulturer og landegrenser.	False	False	False	False	False	False	False	False
13	UD fraråder alle reiser som ikke er strengt nødvendige til alle land.	False	False	False	True	False	False	False	False
14	Personer som har hatt nærkontakt inntil 48 timer før en bekreftet smittet person fikk de første symptomene, skal i karantene.	False	False	True	False	False	False	False	False
